Istuntokauden uudelleenavaaminen	Resumption of the session
Siellä, missä näitä toimenpiteitä on käytetty, on saavutettu myönteisiä tuloksia, eikä pelkästään siten, että useampia naisia on valittu parlamenttiin vaan myös siten, että tietoisuus on lisääntynyt, muille naisille erityisesti tytöille on onnistuttu tarjoamaan hyviä roolimalleja ja parantamaan keskustelua ja päätöksentekoa kaikilla tasoilla.	Where these measures have been used, they have been successful, not only in getting more women elected to Parliament but also in raising awareness, providing good role models for other women - girls in particular - and improving debate and decision-making all around.
Niinpä Vihreät / Euroopan vapaa allianssi -ryhmä tukee mietintöä, koska se edistää tasa-arvon ja todellisen demokratian saavuttamista.	So the Group of the Greens/European Free Alliance will support all the conclusions of the report because it will contribute towards achieving equality and real democracy.
Arvoisa puhemies, Naishistorian hakuteoksesta (Kvinnohistorisk uppslagsbok) Patriarkaattia (Patriarkat) käsittelevän hakusanan kohdalta voi lukea, että se on:	Mr President, in the Swedish Encyclopaedia of Women' s History, the entry under the heading Patriarchy reads as follows:
Yhteiskuntajärjestelmä, joka perustuu miesten välisiin hierarkkisiin suhteisiin, joiden rakenne perustuu siihen, että päätöksentekoprosesseja valvotaan ylhäältä käsin ja että naiset sukupuolena asetetaan alempiarvoiseen asemaan.	'A social system based on hierarchical relations between men, structured so that the decision-making processes are controlled from the top down and so that women as a sex are placed in a subordinate position.
Ideologisen perustelun lähtökohtana on arvojärjestelmä, joka on miehisten ajattelijoiden luoma ja joka rakentuu miesten todellisuuskäsityksen pohjalle.	The ideological justification is provided by a system of values designed by male thinkers and founded on men' s perception of reality.
Lisäksi kohdasta voi lukea, että: järjestelmän materiaalisen perustan muodostaa sukupuolen mukainen työnjako, jossa kaikilla hierarkioiden tasoilla naisille annetaan palkattomat tai huonommin palkatut tehtävät.	The material basis of this system consists of a division of labour according to gender which, at all levels of the hierarchies, assigns to women the tasks which are either unpaid or more poorly paid.
Tämän edellytyksenä on naisten seksuaalisuuden ja hedelmällisyyden valvonta.	One of the prerequisites of this is control of women' s sexuality and fertility.
Tämä valvonta vaatii osaksi rakenteellista naisiin kohdistuvaa väkivaltaa, osaksi naisten harjoittamaa oman sukupuolensa sortamista.	This control in turn requires structural violence against women, on the one hand, and that women practise self-repression, on the other.'
Arvoisa puhemies, haluan palata hieman kysymykseen siitä, miten me harjoitamme oman sukupuolemme sortoa.	I would like to come back briefly to the question of how we practise self-repression.
Tämä istuntosali ei ole ainoa paikka, jossa erityisesti PPE-ryhmän jäsenet keskustelevat kiintiöistä - keskustelua käydään laajalti muuallakin yhteiskunnassa - ja he pelkäävät paniikinomaisesti sukupuolikiintiöitä jostakin minulle tuntemattomasta syystä.	After all, it is not just in this Chamber - it also happens throughout the various sectors of society - that representatives of the Group of the European People' s Party discuss the allocation of quotas and, for some reason I cannot fathom, have a terrible dread of allocating quotas according to gender.
Sanotaan, että naisten pitää ansaita asemansa ansioidensa perusteella, mutta haluaisin esittää kysymyksen, jota miespuoliset työnantajat ja huippupoliitikot eivät ilmeisesti yleensä esitä: millaisia ansioita haluamme nähdä?	It is said that women must be appointed on merit, but I should like to ask the question which, more often than not, employers and leading male politicians apparently fail to ask: What merits are we actually looking for?
Mehän tiedämme, että nykyään naiset ja miehet vastaavat laajalti yhteiskunnan kokonaisuuden eri osista.	After all, we know that, to a large extent, women and men are at present unequally represented in society as a whole.
Meillä yhdistyneen vasemmiston edustajilla ei ole minkäänlaisia vaikeuksia tukea täysin esittelijä Karamanoun mietintöä - päinvastoin.	We in the Confederal Group of the European United Left/Nordic Green Left have no problem whatsoever with backing Mrs Karamanou' s report one hundred per cent - on the contrary.
Odotamme niin kutsuttua ketsuppivaikutusta.	We are waiting for what is called the 'ketchup effect' .
Olemme nyt odottaneet 150 vuotta, joten emme halua enää odottaa edes kahta vuotta, että jotakin tapahtuisi.	We have now been waiting for 150 years, so we do not want to wait even another two years for something to happen.
Hyvä jäsen Karamanou, olen sitä mieltä, että naisten tai ehkä myös nuorten vähäinen edustus parlamentissa ei johdu liiallisesta demokratiasta vaan pikemminkin demokratiavajeesta, ja uskon, että puolueiden laatimat ehdokaslistat, jotka lisäksi laaditaan - kuten te esitätte mietinnössänne - suljettuina listoina, joiden kohdalla ei edes ole suosituimmuusäänestyksen mahdollisuutta, muodostavat järjestelmän, joka takaa erinomaisesti nimenomaan puolueiden, eli puolueiden virkamiesten ja puolueiden valitsemien edustajien, olivatpa he sitten naisia tai miehiä, suhteellisen edustuksen istunnoissamme.	Mrs Karamanou, I think that the low level of representation of women and, indeed, young people in our parliaments is the result of a democratic deficit, not a surplus. Closed electoral lists drawn up directly by the parties - as recommended in your report - where it is not even possible to express a preference vote, represent the best system for achieving proportional representation of parties, or rather party officials and candidates selected by parties, be they women or men, in our parliaments.
Naisten tai myös nuorten vähäinen edustus istunnoissamme sen sijaan johtuu mielestäni juuri vaalijärjestelmistä, jotka estävät ehdokkaita väittelemästä ja ottamasta mittaa toisistaan ja tulemasta - vaikkapa esivaalien kautta - ennemmin kansan kuin puoluesihteerien valitsemiksi.	On the contrary, I think the slow progress in representation of women and young people in our parliaments is actually due to electoral systems which prevent candidates standing against each other and being chosen, if only in primary elections, by the people rather than by party secretaries.
En usko, että tarvitaan erityisen selkeitä tilastollisia todisteita suuntaan tai toiseen - en tiedä, mitä Margaret Thatcher tai Hillary Clinton ajattelisivat suhtautumisestanne enemmistövaaliin - mutta katson, että monet tiedot ja tosiasiat todistavat väitettänne vastaan.	I doubt if the statistics are particularly telling either way - I wonder what Margaret Thatcher or Hilary Clinton would think of your position on the majority system - but a great deal of data and evidence exists to demonstrate the opposite of your theses.
Esitätte mietintönne perusteluissa jopa suosituksen, että myönnettäisiin rahoituskannustimia niille puolueille, jotka tuovat eniten naisia parlamenttiin.	Another recommendation, made in the explanatory statement to your report, is to go so far as to grant public financing incentives to the parties which get the most women into parliament.
Pelkään, että tämä byrokratiaan ja subventioihin perustuva keino - vaikka sen taustalla onkin erinomainen tarkoitus - ei ole oikea tapa kehittää parlamentin edustusta ja edustavuutta.	Although done with the best of intentions, that could be the road to bureaucracy and subsidised representation and representativeness in our parliaments, and it is a road I do not feel we should take.
Naisten edustuksen parantaminen edellyttää demokratian lisäämistä eikä sen vähentämistä.	Women' s representation requires more democracy, not less.
Arvoisa puhemies, hyvät kollegat, kaikkien pohdintojen ytimenä on oltava naisten ja miesten yhtäläisten mahdollisuuksien toteuttaminen.	Mr President, ladies and gentlemen, our central concern must be to establish equal opportunities between men and women.
En tarkoita yhtäläisillä mahdollisuuksilla samaistamista, vaan pikemminkin naisten yhdenvertaisia osallistumis- ja ylenemismahdollisuuksia päätöksentekoprosessissa ja työelämässä, kuten samanarvoista työtä tekevien naisten ja miesten palkkaerojen poistamista.	By equal opportunities I do not mean levelling down, I mean equal opportunities for equally qualified women to join and progress in the decision-making process and in professional life, for example by eliminating differences in salaries between men and women doing equivalent work.
Luvut osoittavat meille, että vaikka vähintään puolet äänestäjäkunnasta useimmissa maissa on naisia, päättävässä asemassa olevien naisten osuus elinkeinoelämässä ja julkisissa viroissa on hälyttävän pieni.	We know from the statistics that in nearly all countries at least half the electorate is made up of women, yet the number of women in decision-making positions in companies and in public bodies is remarkably low.
Mielestäni politiikan ensisijaisena tehtävänä on poistaa kaikki yhtäläisten mahdollisuuksien tiellä olevat esteet.	I regard the prime political task as being to eliminate all barriers to equal opportunities.
Kyse on siis reunaehdoista, joiden ansiosta naisten on mahdollista itse päättää ja vastata omasta elämästään.	I have in mind framework conditions that allow women to take responsibility for shaping their own individual lifestyle.
Politiikassa, jossa tämä tehtävä sysätään elinkeinoelämän toimijoille, ei nähdä paljoakaan vaivaa asianomaisten hyväksi.	A policy that shifts this task to economic players lets policy makers off the hook at the expense of those affected.
Kyse on sosiaaliturvasta, kotona tehdyn työn arvostuksesta, pätevyyksistä, työoloista ja työajoista ja paljon muusta.	Because the issues involved are social protection, the value of family work, qualifications and skills, working conditions, working hours and much more besides.
